Test,SimulationTime,CheckingTime,ComputationTime
bell-state-prep,0,0,0.13
clean-ancilla-n-qubit-toffoli,0,0.01,0.14
cody-jones-toffoli,0,0,0.13
craig-gidney-ccx,0,0,0.13
cuccaro,0,0,11.96
dirty-ancilla-cccx,0,0,0.13
entanglement-swap,0,0,0.13
five-qubit-code,0.07,6.61,6.80
modular-exponentiation,\na,\na,\incorrect
modular-exponentiation-pow2,\na,\na,\incorrect
qft,0,0.03,0.14
stdlib,\na,\na,\incorrect
superdense-coding,0,0,0.13
t-gate-teleportation,0,0,0.13
teleportation,0,0,0.13
three-bit-code,0,0.01,0.14
